# visionSample, x, y, visX, visY, angle, rawDist, rawAngle, distM, distC, angleC, angleM, distRSquared, angleRSquared
1484 0.0 0.0 0.0 0.0 -0.219999998808 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1486 0.0 0.0 0.0 0.0 -0.219999998808 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1487 0.0 0.0 0.0 0.0 -0.219999998808 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1487 0.0 0.0 0.0 0.0 -0.219999998808 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1489 0.0 0.0 0.0 0.0 -0.219999998808 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1489 0.0 0.0 0.0 0.0 -0.219999998808 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1490 0.0 0.0 0.0 0.0 -0.209999993443 0.735931011762 -0.6875 4.4 1.3 1.0 2.5 0.0 0.0 
1491 0.0 0.0 0.0 0.0 -0.209999993443 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1492 0.0 0.0 0.0 0.0 -0.209999993443 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1493 0.0 0.0 0.0 0.0 -0.209999993443 0.735931011762 -0.6875 4.4 1.3 1.0 2.5 0.0 0.0 
1494 0.0 0.0 0.0 0.0 -0.209999993443 0.735931011762 -0.6875 4.4 1.3 1.0 2.5 0.0 0.0 
1495 0.0 0.0 0.0 0.0 -0.209999993443 0.735931011762 -0.6875 4.4 1.3 1.0 2.5 0.0 0.0 
1496 0.0 0.0 0.0 0.0 -0.209999993443 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1497 0.0 0.0 0.0 0.0 -0.209999993443 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1498 0.0 0.0 0.0 0.0 -0.209999993443 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1499 0.0 0.0 0.0 0.0 -0.209999993443 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1500 0.0 0.0 0.0 0.0 -0.209999993443 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1501 0.0 0.0 0.0 0.0 -0.209999993443 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1503 0.0 0.0 0.0 0.0 -0.209999993443 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1503 0.0 0.0 0.0 0.0 -0.209999993443 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1504 0.0 0.0 0.0 0.0 -0.209999993443 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1506 0.0 0.0 0.0 0.0 -0.209999993443 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1506 0.0 0.0 0.0 0.0 -0.209999993443 0.735931011762 -0.6875 4.4 1.3 1.0 2.5 0.0 0.0 
1507 0.0 0.0 0.0 0.0 -0.209999993443 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1508 0.0 0.0 0.0 0.0 -0.209999993443 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1509 0.0 0.0 0.0 0.0 -0.209999993443 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1510 0.0 0.0 0.0 0.0 -0.209999993443 0.735931011762 -0.6875 4.4 1.3 1.0 2.5 0.0 0.0 
1512 0.0 0.0 0.0 0.0 -0.209999993443 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1512 0.0 0.0 0.0 0.0 -0.209999993443 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1513 0.0 0.0 0.0 0.0 -0.209999993443 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1515 0.0 0.0 0.0 0.0 -0.209999993443 0.735931011762 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1516 0.0 0.0 0.0 0.0 -0.209999993443 0.735931011762 -0.6875 4.4 1.3 1.0 2.5 0.0 0.0 
1516 0.0 0.0 0.0 0.0 -0.209999993443 0.735931011762 -0.6875 4.4 1.3 1.0 2.5 0.0 0.0 
1517 0.0 0.0 0.0 0.0 -0.209999993443 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1518 0.0 0.0 0.0 0.0 -0.209999993443 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1520 0.0 0.0 0.0 0.0 -0.209999993443 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1520 0.0 0.0 0.0 0.0 -0.209999993443 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1521 0.0 0.0 0.0 0.0 -0.209999993443 0.735931011762 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1523 0.0 0.0 0.0 0.0 -0.209999993443 0.71283243564 -0.6875 4.4 1.3 1.0 2.5 0.0 0.0 
1523 0.0 0.0 0.0 0.0 -0.209999993443 0.71283243564 -0.6875 4.4 1.3 1.0 2.5 0.0 0.0 
1524 0.0 0.0 0.0 0.0 -0.209999993443 0.71283243564 -0.6875 4.4 1.3 1.0 2.5 0.0 0.0 
1525 0.0 0.0 0.0 0.0 -0.209999993443 0.735931011762 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1525 0.0 0.0 0.0 0.0 -0.209999993443 0.735931011762 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1526 0.0 0.0 0.0 0.0 -0.209999993443 0.735931011762 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1526 0.0 0.0 0.0 0.0 -0.209999993443 0.735931011762 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1528 0.0 0.0 0.0 0.0 -0.209999993443 0.735931011762 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1529 0.0 0.0 0.0 0.0 -0.209999993443 0.735931011762 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1530 0.0 0.0 0.0 0.0 -0.209999993443 0.735931011762 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1532 0.0 0.0 0.0 0.0 -0.209999993443 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1532 0.0 0.0 0.0 0.0 -0.209999993443 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1533 0.0 0.0 0.0 0.0 -0.209999993443 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1534 0.0 0.0 0.0 0.0 -0.209999993443 0.735931011762 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1535 0.0 0.0 0.0 0.0 -0.209999993443 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1536 0.0 0.0 0.0 0.0 -0.209999993443 0.735931011762 -0.6875 4.4 1.3 1.0 2.5 0.0 0.0 
1537 0.0 0.0 0.0 0.0 -0.209999993443 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1538 0.0 0.0 0.0 0.0 -0.209999993443 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1539 0.0 0.0 0.0 0.0 -0.209999993443 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1539 0.0 0.0 0.0 0.0 -0.209999993443 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1539 0.0 0.0 0.0 0.0 -0.209999993443 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1541 0.0 0.0 0.0 0.0 -0.209999993443 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1542 0.0 0.0 0.0 0.0 -0.209999993443 0.716924168346 -0.71875 4.4 1.3 1.0 2.5 0.0 0.0 
1544 0.0 0.0 0.0 0.0 -0.209999993443 0.735294117647 -0.6875 4.4 1.3 1.0 2.5 0.0 0.0 
1544 0.0 0.0 0.0 0.0 -0.209999993443 0.735294117647 -0.6875 4.4 1.3 1.0 2.5 0.0 0.0 
1545 0.0 0.0 0.0 0.0 -0.209999993443 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1546 0.0 0.0 0.0 0.0 -0.209999993443 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1547 0.0 0.0 0.0 0.0 -0.209999993443 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1548 0.0 0.0 0.0 0.0 -0.209999993443 0.740436097199 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1549 0.0 0.0 0.0 0.0 -0.209999993443 0.712253602873 -0.6875 4.4 1.3 1.0 2.5 0.0 0.0 
1550 0.0 0.0 0.0 0.0 -0.209999993443 0.735294117647 -0.6875 4.4 1.3 1.0 2.5 0.0 0.0 
1551 0.0 0.0 0.0 0.0 -0.209999993443 0.735931011762 -0.6875 4.4 1.3 1.0 2.5 0.0 0.0 
1552 0.0 0.0 0.0 0.0 -0.209999993443 0.735294117647 -0.6875 4.4 1.3 1.0 2.5 0.0 0.0 
1554 0.0 0.0 0.0 0.0 -0.209999993443 0.740436097199 -0.6875 4.4 1.3 1.0 2.5 0.0 0.0 
1554 0.0 0.0 0.0 0.0 -0.209999993443 0.740436097199 -0.6875 4.4 1.3 1.0 2.5 0.0 0.0 
1555 0.0 0.0 0.0 0.0 -0.209999993443 0.735294117647 -0.6875 4.4 1.3 1.0 2.5 0.0 0.0 
1557 0.0 0.0 0.0 0.0 -0.209999993443 0.716924168346 -0.71875 4.4 1.3 1.0 2.5 0.0 0.0 
1557 0.0 0.0 0.0 0.0 -0.209999993443 0.716924168346 -0.71875 4.4 1.3 1.0 2.5 0.0 0.0 
1558 0.0 0.0 0.0 0.0 -0.209999993443 0.716924168346 -0.71875 4.4 1.3 1.0 2.5 0.0 0.0 
1559 0.0 0.0 0.0 0.0 -0.209999993443 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1560 0.0 0.0 0.0 0.0 -0.209999993443 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1561 0.0 0.0 0.0 0.0 -0.209999993443 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1562 0.0 0.0 0.0 0.0 -0.209999993443 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1563 0.0 0.0 0.0 0.0 -0.209999993443 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1564 0.0 0.0 0.0 0.0 -0.209999993443 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1565 0.0 0.0 0.0 0.0 -0.209999993443 0.740436097199 -0.6875 4.4 1.3 1.0 2.5 0.0 0.0 
1567 0.0 0.0 0.0 0.0 -0.209999993443 0.740436097199 -0.6875 4.4 1.3 1.0 2.5 0.0 0.0 
1567 0.0 0.0 0.0 0.0 -0.209999993443 0.740436097199 -0.6875 4.4 1.3 1.0 2.5 0.0 0.0 
1568 0.0 0.0 0.0 0.0 -0.209999993443 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1569 0.0 0.0 0.0 0.0 -0.209999993443 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1570 0.0 0.0 0.0 0.0 -0.209999993443 0.735931011762 -0.6875 4.4 1.3 1.0 2.5 0.0 0.0 
1571 0.0 0.0 0.0 0.0 -0.209999993443 0.735931011762 -0.6875 4.4 1.3 1.0 2.5 0.0 0.0 
1572 0.0 0.0 0.0 0.0 -0.219999998808 0.735294117647 -0.6875 4.4 1.3 1.0 2.5 0.0 0.0 
1573 0.0 0.0 0.0 0.0 -0.219999998808 0.735294117647 -0.6875 4.4 1.3 1.0 2.5 0.0 0.0 
1574 0.0 0.0 0.0 0.0 -0.219999998808 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1575 0.0 0.0 0.0 0.0 -0.219999998808 0.740436097199 -0.6875 4.4 1.3 1.0 2.5 0.0 0.0 
1576 0.0 0.0 0.0 0.0 -0.219999998808 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1577 0.0 0.0 0.0 0.0 -0.219999998808 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1578 0.0 0.0 0.0 0.0 -0.219999998808 0.740436097199 -0.6875 4.4 1.3 1.0 2.5 0.0 0.0 
1579 0.0 0.0 0.0 0.0 -0.219999998808 0.740436097199 -0.6875 4.4 1.3 1.0 2.5 0.0 0.0 
1580 0.0 0.0 0.0 0.0 -0.219999998808 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1581 0.0 0.0 0.0 0.0 -0.219999998808 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1582 0.0 0.0 0.0 0.0 -0.219999998808 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1582 0.0 0.0 0.0 0.0 -0.219999998808 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1584 0.0 0.0 0.0 0.0 -0.219999998808 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1585 0.0 0.0 0.0 0.0 -0.230000004172 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1586 0.0 0.0 0.0 0.0 -0.230000004172 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1587 0.0 0.0 0.0 0.0 -0.230000004172 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1587 0.0 0.0 0.0 0.0 -0.230000004172 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1589 0.0 0.0 0.0 0.0 -0.230000004172 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1590 0.0 0.0 0.0 0.0 -0.230000004172 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1591 0.0 0.0 0.0 0.0 -0.230000004172 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1592 0.0 0.0 0.0 0.0 -0.230000004172 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1593 0.0 0.0 0.0 0.0 -0.230000004172 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1594 0.0 0.0 0.0 0.0 -0.230000004172 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1595 0.0 0.0 0.0 0.0 -0.230000004172 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1596 0.0 0.0 0.0 0.0 -0.230000004172 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1598 0.0 0.0 0.0 0.0 -0.239999994636 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1598 0.0 0.0 0.0 0.0 -0.239999994636 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1599 0.0 0.0 0.0 0.0 -0.239999994636 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1600 0.0 0.0 0.0 0.0 -0.239999994636 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1601 0.0 0.0 0.0 0.0 -0.239999994636 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1603 0.0 0.0 0.0 0.0 -0.239999994636 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1603 0.0 0.0 0.0 0.0 -0.239999994636 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1604 0.0 0.0 0.0 0.0 -0.239999994636 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1605 0.0 0.0 0.0 0.0 -0.239999994636 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1606 0.0 0.0 0.0 0.0 -0.239999994636 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1607 0.0 0.0 0.0 0.0 -0.239999994636 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1608 0.0 0.0 0.0 0.0 -0.239999994636 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1609 0.0 0.0 0.0 0.0 -0.239999994636 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1610 0.0 0.0 0.0 0.0 -0.239999994636 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1610 0.0 0.0 0.0 0.0 -0.239999994636 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1611 0.0 0.0 0.0 0.0 -0.239999994636 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1612 0.0 0.0 0.0 0.0 -0.239999994636 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1613 0.0 0.0 0.0 0.0 -0.239999994636 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1615 0.0 0.0 0.0 0.0 -0.239999994636 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1617 0.0 0.0 0.0 0.0 -0.239999994636 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1617 0.0 0.0 0.0 0.0 -0.239999994636 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1617 0.0 0.0 0.0 0.0 -0.239999994636 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1619 0.0 0.0 0.0 0.0 -0.239999994636 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1620 0.0 0.0 0.0 0.0 -0.25 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1622 0.0 0.0 0.0 0.0 -0.25 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1622 0.0 0.0 0.0 0.0 -0.25 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1623 0.0 0.0 0.0 0.0 -0.25 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1623 0.0 0.0 0.0 0.0 -0.25 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1624 0.0 0.0 0.0 0.0 -0.25 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1625 0.0 0.0 0.0 0.0 -0.25 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1626 0.0 0.0 0.0 0.0 -0.25 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1628 0.0 0.0 0.0 0.0 -0.25 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1629 0.0 0.0 0.0 0.0 -0.25 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1629 0.0 0.0 0.0 0.0 -0.25 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1629 0.0 0.0 0.0 0.0 -0.25 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1630 0.0 0.0 0.0 0.0 -0.25 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1632 0.0 0.0 0.0 0.0 -0.25 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1632 0.0 0.0 0.0 0.0 -0.25 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1633 0.0 0.0 0.0 0.0 -0.25 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1634 0.0 0.0 0.0 0.0 -0.25 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1634 0.0 0.0 0.0 0.0 -0.25 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1635 0.0 0.0 0.0 0.0 -0.25 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1636 0.0 0.0 0.0 0.0 -0.25 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1639 0.0 0.0 0.0 0.0 -0.25 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1639 0.0 0.0 0.0 0.0 -0.25 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1640 0.0 0.0 0.0 0.0 -0.25 0.740436097199 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1642 0.0 0.0 0.0 0.0 -0.25 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1642 0.0 0.0 0.0 0.0 -0.25 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1643 0.0 0.0 0.0 0.0 -0.25 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1644 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1645 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1646 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1647 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1648 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1649 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1650 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1651 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1652 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1653 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1654 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1655 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1655 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1657 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1659 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1659 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1660 0.0 0.0 0.0 0.0 -0.259999990463 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1661 0.0 0.0 0.0 0.0 -0.259999990463 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1662 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1663 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1664 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1666 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1666 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1667 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1669 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1669 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1670 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1671 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1673 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1673 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1674 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1675 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1676 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1677 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1678 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1679 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1680 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1681 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1682 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1683 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1684 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1685 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1687 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1687 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1688 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1690 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1690 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1691 0.0 0.0 0.0 0.0 -0.259999990463 0.766424174356 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1692 0.0 0.0 0.0 0.0 -0.259999990463 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1693 0.0 0.0 0.0 0.0 -0.259999990463 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
1693 0.0 0.0 0.0 0.0 -0.259999990463 0.761431129841 -0.65625 4.4 1.3 1.0 2.5 0.0 0.0 
